Code,Exchange,Name,Sector,Industry
AIZ,US,Assurant Inc,Financial Services,Insurance - Specialty
MNST,US,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic
MTCH,US,Match Group Inc,Communication Services,Internet Content & Information
PGR,US,Progressive Corp,Financial Services,Insurance - Property & Casualty
CSX,US,CSX Corporation,Industrials,Railroads
ADP,US,Automatic Data Processing Inc,Industrials,Staffing & Employment Services
ANSS,US,ANSYS Inc,Technology,Software - Application
AFL,US,Aflac Incorporated,Financial Services,Insurance - Life
SO,US,Southern Company,Utilities,Utilities - Regulated Electric
REG,US,Regency Centers Corporation,Real Estate,REIT - Retail
LMT,US,Lockheed Martin Corporation,Industrials,Aerospace & Defense
BMY,US,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
EIX,US,Edison International,Utilities,Utilities - Regulated Electric
GWW,US,WW Grainger Inc,Industrials,Industrial Distribution
FAST,US,Fastenal Company,Industrials,Industrial Distribution
PHM,US,PulteGroup Inc,Consumer Cyclical,Residential Construction
INTC,US,Intel Corporation,Technology,Semiconductors
NEM,US,Newmont Goldcorp Corp,Basic Materials,Gold
CTAS,US,Cintas Corporation,Industrials,Specialty Business Services
ALL,US,The Allstate Corporation,Financial Services,Insurance - Property & Casualty
CBOE,US,Cboe Global Markets Inc,Financial Services,Financial Data & Stock Exchanges
NDAQ,US,Nasdaq Inc,Financial Services,Financial Data & Stock Exchanges
NRG,US,NRG Energy Inc.,Utilities,Utilities - Independent Power Producers
CSGP,US,CoStar Group Inc,Real Estate,Real Estate Services
GIS,US,General Mills Inc,Consumer Defensive,Packaged Foods
CNC,US,Centene Corp,Healthcare,Healthcare Plans
MLM,US,Martin Marietta Materials Inc,Basic Materials,Building Materials
QCOM,US,Qualcomm Incorporated,Technology,Semiconductors
ACN,US,Accenture plc,Technology,Information Technology Services
VMC,US,Vulcan Materials Company,Basic Materials,Building Materials
MRO,US,Marathon Oil Corporation,Energy,Oil & Gas E&P
AVGO,US,Broadcom Inc,Technology,Semiconductors
AMT,US,American Tower Corp,Real Estate,REIT - Specialty
PKG,US,Packaging Corp of America,Consumer Cyclical,Packaging & Containers
CPB,US,Campbell Soup Company,Consumer Defensive,Packaged Foods
FMC,US,FMC Corporation,Basic Materials,Agricultural Inputs
RCL,US,Royal Caribbean Cruises Ltd,Consumer Cyclical,Travel Services
WAT,US,Waters Corporation,Healthcare,Diagnostics & Research
PPL,US,PPL Corporation,Utilities,Utilities - Regulated Electric
FITB,US,Fifth Third Bancorp,Financial Services,Banks - Regional
DXCM,US,DexCom Inc,Healthcare,Medical Devices
SNPS,US,Synopsys Inc,Technology,Software - Infrastructure
HON,US,Honeywell International Inc,Industrials,Conglomerates
EW,US,Edwards Lifesciences Corp,Healthcare,Medical Devices
APD,US,Air Products and Chemicals Inc,Basic Materials,Specialty Chemicals
MCD,US,McDonald’s Corporation,Consumer Cyclical,Restaurants
TDY,US,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments
NTAP,US,NetApp Inc,Technology,Computer Hardware
KO,US,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic
GS,US,Goldman Sachs Group Inc,Financial Services,Capital Markets
AJG,US,Arthur J Gallagher & Co,Financial Services,Insurance Brokers
NKE,US,Nike Inc,Consumer Cyclical,Footwear & Accessories
KMB,US,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products
ROL,US,Rollins Inc,Consumer Cyclical,Personal Services
HES,US,Hess Corporation,Energy,Oil & Gas E&P
IT,US,Gartner Inc,Technology,Information Technology Services
CTSH,US,Cognizant Technology Solutions Corp Class A,Technology,Information Technology Services
WEC,US,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric
PG,US,Procter & Gamble Company,Consumer Defensive,Household & Personal Products
SNA,US,Snap-On Inc,Industrials,Tools & Accessories
CMA,US,Comerica Inc,Financial Services,Banks - Regional
BIO,US,Bio-Rad Laboratories Inc,Healthcare,Medical Devices
IRM,US,Iron Mountain Incorporated,Real Estate,REIT - Specialty
EOG,US,EOG Resources Inc,Energy,Oil & Gas E&P
FCX,US,Freeport-McMoran Copper & Gold Inc,Basic Materials,Copper
TXN,US,Texas Instruments Incorporated,Technology,Semiconductors
AON,US,Aon PLC,Financial Services,Insurance Brokers
CHRW,US,CH Robinson Worldwide Inc,Industrials,Integrated Freight & Logistics
FDS,US,FactSet Research Systems Inc,Financial Services,Financial Data & Stock Exchanges
GPN,US,Global Payments Inc,Industrials,Specialty Business Services
CMG,US,Chipotle Mexican Grill Inc,Consumer Cyclical,Restaurants
TEL,US,TE Connectivity Ltd,Technology,Electronic Components
MSCI,US,MSCI Inc,Financial Services,Financial Data & Stock Exchanges
CF,US,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs
TJX,US,The TJX Companies Inc,Consumer Cyclical,Apparel Retail
WRB,US,W. R. Berkley Corp,Financial Services,Insurance - Property & Casualty
DLTR,US,Dollar Tree Inc,Consumer Defensive,Discount Stores
DRI,US,Darden Restaurants Inc,Consumer Cyclical,Restaurants
JPM,US,JPMorgan Chase & Co,Financial Services,Banks - Diversified
CB,US,Chubb Ltd,Financial Services,Insurance - Property & Casualty
KEY,US,KeyCorp,Financial Services,Banks - Regional
GD,US,General Dynamics Corporation,Industrials,Aerospace & Defense
TGT,US,Target Corporation,Consumer Defensive,Discount Stores
EQR,US,Equity Residential,Real Estate,REIT - Residential
RJF,US,Raymond James Financial Inc.,Financial Services,Capital Markets
BLDR,US,Builders FirstSource Inc,Industrials,Building Products & Equipment
SWKS,US,Skyworks Solutions Inc,Technology,Semiconductors
MS,US,Morgan Stanley,Financial Services,Capital Markets
AAL,US,American Airlines Group,Industrials,Airlines
RF,US,Regions Financial Corporation,Financial Services,Banks - Regional
PANW,US,Palo Alto Networks Inc,Technology,Software - Infrastructure
AEP,US,American Electric Power Co Inc,Utilities,Utilities - Regulated Electric
CE,US,Celanese Corporation,Basic Materials,Chemicals
AMAT,US,Applied Materials Inc,Technology,Semiconductor Equipment & Materials
CCI,US,Crown Castle,Real Estate,REIT - Specialty
LULU,US,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail
VTR,US,Ventas Inc,Real Estate,REIT - Healthcare Facilities
PPG,US,PPG Industries Inc,Basic Materials,Specialty Chemicals
INTU,US,Intuit Inc,Technology,Software - Application
IPG,US,Interpublic Group of Companies Inc,Communication Services,Advertising Agencies
A,US,Agilent Technologies Inc,Healthcare,Diagnostics & Research
IFF,US,International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals
EL,US,Estee Lauder Companies Inc,Consumer Defensive,Household & Personal Products
CNP,US,CenterPoint Energy Inc,Utilities,Utilities - Regulated Electric
AVY,US,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers
UNP,US,Union Pacific Corporation,Industrials,Railroads
MAS,US,Masco Corporation,Industrials,Building Products & Equipment
PSX,US,Phillips 66,Energy,Oil & Gas Refining & Marketing
GLW,US,Corning Incorporated,Technology,Electronic Components
CME,US,CME Group Inc,Financial Services,Financial Data & Stock Exchanges
NCLH,US,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services
SBUX,US,Starbucks Corporation,Consumer Cyclical,Restaurants
STE,US,STERIS plc,Healthcare,Medical Devices
CAG,US,ConAgra Foods Inc,Consumer Defensive,Packaged Foods
PODD,US,Insulet Corporation,Healthcare,Medical Devices
CLX,US,The Clorox Company,Consumer Defensive,Household & Personal Products
UHS,US,Universal Health Services Inc,Healthcare,Medical Care Facilities
ILMN,US,Illumina Inc,Healthcare,Diagnostics & Research
POOL,US,Pool Corporation,Industrials,Industrial Distribution
ODFL,US,Old Dominion Freight Line Inc,Industrials,Trucking
MRNA,US,Moderna Inc,Healthcare,Biotechnology
LUV,US,Southwest Airlines Company,Industrials,Airlines
ZBRA,US,Zebra Technologies Corporation,Technology,Communication Equipment
ROST,US,Ross Stores Inc,Consumer Cyclical,Apparel Retail
FFIV,US,F5 Networks Inc,Technology,Software - Infrastructure
HRL,US,Hormel Foods Corporation,Consumer Defensive,Packaged Foods
TSCO,US,Tractor Supply Company,Consumer Cyclical,Specialty Retail
COP,US,ConocoPhillips,Energy,Oil & Gas E&P
CSCO,US,Cisco Systems Inc,Technology,Communication Equipment
AEE,US,Ameren Corp,Utilities,Utilities - Regulated Electric
CL,US,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
DGX,US,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research
AME,US,Ametek Inc,Industrials,Specialty Industrial Machinery
AOS,US,Smith AO Corporation,Industrials,Specialty Industrial Machinery
BIIB,US,Biogen Inc,Healthcare,Drug Manufacturers - General
BRO,US,Brown & Brown Inc,Financial Services,Insurance Brokers
MSI,US,Motorola Solutions Inc,Technology,Communication Equipment
ESS,US,Essex Property Trust Inc,Real Estate,REIT - Residential
HIG,US,Hartford Financial Services Group,Financial Services,Insurance - Property & Casualty
CDNS,US,Cadence Design Systems Inc,Technology,Software - Application
EQIX,US,Equinix Inc,Real Estate,REIT - Specialty
EXR,US,Extra Space Storage Inc,Real Estate,REIT - Industrial
CVX,US,Chevron Corp,Energy,Oil & Gas Integrated
HUM,US,Humana Inc,Healthcare,Healthcare Plans
BBY,US,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail
PLD,US,Prologis Inc,Real Estate,REIT - Industrial
OXY,US,Occidental Petroleum Corporation,Energy,Oil & Gas E&P
T,US,AT&T Inc,Communication Services,Telecom Services
KLAC,US,KLA-Tencor Corporation,Technology,Semiconductor Equipment & Materials
LLY,US,Eli Lilly and Company,Healthcare,Drug Manufacturers - General
APH,US,Amphenol Corporation,Technology,Electronic Components
PRU,US,Prudential Financial Inc,Financial Services,Insurance - Life
EMN,US,Eastman Chemical Company,Basic Materials,Specialty Chemicals
IP,US,International Paper,Consumer Cyclical,Packaging & Containers
SPG,US,Simon Property Group Inc,Real Estate,REIT - Retail
FICO,US,Fair Isaac Corporation,Technology,Software - Application
COF,US,Capital One Financial Corporation,Financial Services,Credit Services
CHD,US,Church & Dwight Company Inc,Consumer Defensive,Household & Personal Products
PCAR,US,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery
